部屋主,順番,曲名（ファイル名）,作品名,歌手名,歌った人,コメント,取得日
芝ちゃん部屋,97,ココロ・アストロノーツ,ひみつのアイプリ In,ジャンピンロケット,加古,,2026/01/25
芝ちゃん部屋,96,Ring Ring Ring feat. ひまり【パート分け有】,ひみつのアイプリ Op,P丸様。,ゆに,,2026/01/25
芝ちゃん部屋,95,【学園アイドルマスター】「雨上がりのアイリス」[IM][Re_IRIS][2tr Off-On],-,,えみち,,2026/01/25
芝ちゃん部屋,94,わいるど☆すたー,ひみつのアイプリ,八王子ビビ(CV.寺澤百花) 真実夜チィ(CV.大地薫),芝ちゃん,,2026/01/25
芝ちゃん部屋,93,どきどき きらめき バズリウム,ひみつのアイプリ OP3,P丸様。,加古,,2026/01/25
ヒロ部屋,92,異世界こんちぇると【アニメ映像ver2.0・最終話まで・パート分け有り】,異世界かるてっと3 OP,"アインズ(CV:日野聡),カズマ(CV:福島潤),スバル(CV:小林裕介),ターニャ(CV:悠木碧)",みにゅ,,2026/01/25
芝ちゃん部屋,92,][2tr Off-On],小鹿なお,,ゆに,,2026/01/25
ヒロ部屋,91,君色、僕色 アニメ最終回反映版,異世界かるてっと3,鈴木このみ、伊東歌詞太郎,村民,,2026/01/25
芝ちゃん部屋,91,Stella-rium  キー変更： -4,放課後のプレアデス OP,鹿乃,えみち,,2026/01/25
芝ちゃん部屋,90,星眼鏡,透明男と人間女～そのうち夫婦になるふたり～ ED,石原夏織,芝ちゃん,,2026/01/25
芝ちゃん部屋,89,君の隣は空気が美味しい feat.Kotoha,29歳独身中堅冒険者の日常 ED,MARUMOCHI from HoneyWorks,加古,,2026/01/25
芝ちゃん部屋,88,Make it,お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～ ED,大渕野々花,ゆに,,2026/01/25
芝ちゃん部屋,87,Love Reason why!!【Ver2 最終話 ED】  キー変更： -4,恋愛フロップス,鈴木このみ,えみち,,2026/01/25
芝ちゃん部屋,86,I AM STANDING,3月のライオン Ed,RUANN,芝ちゃん,,2026/01/25
芝ちゃん部屋,85,MY舞☆TONIGHT【パート有】,ラブライブ! サンシャイン!!,Aqours,加古,,2026/01/25
芝ちゃん部屋,84,あまのじゃく,幼馴染とはラブコメにならない ED,小玉ひかり,ゆに,,2026/01/25
芝ちゃん部屋,83,アルカテイル  キー変更： -4,Summer Pockets OP,鈴木このみ,えみち,,2026/01/25
芝ちゃん部屋,82,おサカナになりたい～1000Wに願いを～,ときめきメモリアル Im,虹野沙希(CV. 菅原祥子),芝ちゃん,,2026/01/25
芝ちゃん部屋,81,Universe【加古さんリクエスト曲】,映画ドラえもん のび太の宇宙小戦争 2021 主題歌,Official髭男dism,加古,,2026/01/25
芝ちゃん部屋,80,Make Me Wonder  キー変更： -1,ダーウィン事変 OP,Official髭男dism,ゆに,,2026/01/25
芝ちゃん部屋,79,雪解けに【パート分け】  キー変更： -4,学園アイドルマスター,初星学園,えみち,,2026/01/25
芝ちゃん部屋,78,ふめつのあなた,不滅のあなたへ Op,Perfume,芝ちゃん,,2026/01/25
芝ちゃん部屋,77,仮装狂騒曲(パート分け有),学園アイドルマスター IM,初星学園,加古,,2026/01/25
芝ちゃん部屋,76,Campus mode!!(パート分け有),学園アイドルマスター IN,初星学園,ゆに,,2026/01/25
芝ちゃん部屋,75,Philosophy of Dear World  キー変更： -4,純潔のマリア OP,ZAQ,えみち,,2026/01/25
芝ちゃん部屋,74,"Don't think, スマイル!!【パート分け有】",Reステージ! ドリームデイズ♪ Op,KiRaRe,芝ちゃん,,2026/01/25
芝ちゃん部屋,73,愛ちゃんはお嫁に,ノンタイアップ,鈴木三重子,加古,,2026/01/25
芝ちゃん部屋,72,【MFゴースト】TIMELESS POWER ※TV size 2期OP(off-UVRコーラス入-on) ／ 芹澤優 feat.MOTSU,-,,ゆに,,2026/01/25
芝ちゃん部屋,71,最新話,太陽よりも眩しい星 Ed,和ぬか,えみち,,2026/01/25
芝ちゃん部屋,70,口直し,白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます Op,和ぬか,芝ちゃん,,2026/01/25
芝ちゃん部屋,69,人形の街【小林私 MV】,アルネの事件簿 ED,小林私,加古,,2026/01/25
芝ちゃん部屋,68,アブナイキオク【パート分け】,かぐや様は告らせたい 大人への階段 OP,"鈴木雅之,古賀葵",ゆに,,2026/01/25
芝ちゃん部屋,67,【甘神さんちの縁結び】桜のかくしごと(パート分け)／甘神三姉妹[on-cut]  キー変更： -3,-,,えみち,,2026/01/25
芝ちゃん部屋,66,YES!サマーラブ【パート分けあり】,勇者パーティーにかわいい子がいたので、告白してみた。 ED,櫻井もも 小澤愛実 野口衣織,芝ちゃん,,2026/01/25
芝ちゃん部屋,65,君が灯してくれた光を今,29歳独身中堅冒険者の日常 OP,"HoneyWorks,Hanon",加古,,2026/01/25
芝ちゃん部屋,64,BABY,花ざかりの君たちへ ED,YOASOBI,ゆに,,2026/01/25
芝ちゃん部屋,63,ふたりぶん  キー変更： -4,渡くんの××が崩壊寸前 Op,shallm,えみち,セミボーカル有難い…！,2026/01/25
芝ちゃん部屋,62,Lavish!!,勇者パーティーにかわいい子がいたので、告白してみた。 OP,吉乃,芝ちゃん,,2026/01/25
芝ちゃん部屋,61,【葬送のフリーレン】The Story of Us ※2期ED (off-UVRコーラス入-on) ／milet,-,,加古,,2026/01/25
芝ちゃん部屋,60,シルベ,勇者パーティを追い出された器用貧乏 OP,常闇トワ,ゆに,,2026/01/25
芝ちゃん部屋,59,ディア・マイ・スペシャル・プレシャス・マーベラス・スウィート・ダーリンズ(パート分け有 本編映像反映)  キー変更： -4,わたしが恋人になれるわけないじゃん、ムリムリ!(※ムリじゃなかった!?) ～ネクストシャイン!～ ED,クインテット,えみち,,2026/01/25
芝ちゃん部屋,58,セッション運命ナイト,「1分間だけ挿れてもいいよ…」シェアハウスの秘密ルール。 Tm,Dai Takanashi,芝ちゃん,,2026/01/25
芝ちゃん部屋,57,【不徳のギルド OP】 Never the Fever!!(cut&コーラス入-on)_不徳版 ／ 佐咲紗花_けんちぃ_305,-,,加古,,2026/01/25
芝ちゃん部屋,56,【幼馴染とはラブコメにならない】 [op] あいらびゅ♡／HoneyWorks meets 久住琳 芹澤優 平塚紗依 山本悠有希 ※パート分け有耳コピ bb242 (On-Off),-,,ゆに,,2026/01/25
芝ちゃん部屋,55,レイドバックジャーニー  キー変更： -4,ゆるキャン△ SEASON3 OP,キミのね,えみち,,2026/01/25
芝ちゃん部屋,54,幻想曲(アラベスク)を君に,SI-VIS The Sound of Heroes In,SI-VIS,芝ちゃん,,2026/01/25
芝ちゃん部屋,53,いいよ【最終話反映】,ある日、お姫様になってしまった件について OP,Daoko,加古,,2026/01/25
芝ちゃん部屋,52,MELODEA【_MV版】,SI-VIS:The Sound of Heroes 挿入歌,SI-VIS,ゆに,,2026/01/25
芝ちゃん部屋,51,ユートピア学概論【パート分け】,Lv2からチートだった元勇者候補のまったり異世界ライフ ED,DIALOGUE+,ヒロ,,2026/01/25
芝ちゃん部屋,50,【弱キャラ友崎くん 2nd STAGE】[OP]イージー？ハード？しかして進めっ！（パート分け-最終話反映）／DIALOGUE＋〔On-Off〕,-,,芝ちゃん,,2026/01/25
芝ちゃん部屋,49,人生イージー?【パート分け】,弱キャラ友崎くん OP,DIALOGUE+,えみち,,2026/01/25
芝ちゃん部屋,48,【継母の連れ子が元カノだった】[OP]デネブとスピカ（パート分け）／DIALOGUE＋〔MVC-On-Off〕,-,,加古,,2026/01/25
芝ちゃん部屋,47,言伝  キー変更： -2,違国日記 ED,Bialystocks,ゆに,,2026/01/25
芝ちゃん部屋,46,Cipher Cipher,魔都精兵のスレイブ2 ED,花澤香菜,ヒロ,,2026/01/25
芝ちゃん部屋,45,1%,不機嫌なモノノケ庵 續 Ed,ウォルピスカーター,芝ちゃん,,2026/01/25
芝ちゃん部屋,44,fly away t.p.s  キー変更： -3,T.P.さくら～タイムパラディンさくら～ OP,佐咲紗花,えみち,,2026/01/25
芝ちゃん部屋,43,おもいでしりとり【パート分け】,ひげを剃る。そして女子高生を拾う。 OP,DIALOGUE+,加古,,2026/01/25
芝ちゃん部屋,42,若葉のころ,綺麗にしてもらえますか。 ED,清浦夏実,ゆに,,2026/01/25
芝ちゃん部屋,41,月に向かって撃て【Ver1 暫定版】,真夜中ハートチューン OP,星街すいせい,ヒロ,,2026/01/25
芝ちゃん部屋,40,願いごと,どうせ、恋してしまうんだ ED,マルシィ,芝ちゃん,,2026/01/25
芝ちゃん部屋,39,愛のWarrior,アンジェリーク 魔恋の六騎士,GRANRODEO,えみち,,2026/01/25
芝ちゃん部屋,38,KICK BACK,チェンソーマン OP,米津玄師,加古,,2026/01/25
芝ちゃん部屋,37,綺麗。,綺麗にしてもらえますか。 OP,ゆう。,ゆに,,2026/01/25
芝ちゃん部屋,36,黄金の彼方【パート分け】,ゴールデンカムイ 最終章 OP,Awich × ALI,ヒロ,,2026/01/25
芝ちゃん部屋,35,ResoNAnce,9-nine- Ruler's Crown Op,あらき,芝ちゃん,,2026/01/25
芝ちゃん部屋,34,【プリマドール】夢咲＊ハレ舞台(パート分け)／シャノワール[on-off]  キー変更： -3,-,,えみち,,2026/01/25
芝ちゃん部屋,33,BALEFIRE,プリンセッション・オーケストラ Im,識辺かがり(CV.藤本侑里),加古,,2026/01/25
芝ちゃん部屋,32,ラケナリアの夢,魔術師クノンは見えている OP,ヰ世界情緒,ゆに,,2026/01/25
芝ちゃん部屋,31,カメリア,エリスの聖杯 ED,田村ゆかり,ヒロ,,2026/01/25
芝ちゃん部屋,30,FRIENDS & SMILE【パート分け_2パート_12話まで】,SI-VIS The Sound of Heroes ED,SI-VIS,芝ちゃん,,2026/01/25
芝ちゃん部屋,29,愛のファンファーレ【パート分け】,悪役令嬢は隣国の王太子に溺愛される OP,"高垣彩陽,城田優",えみち,,2026/01/25
ほっしー部屋,29,真夜中ハートチューン,月に向かって撃て【星街すいせい】※Ver1 暫定版,,hossy,,2026/01/25
芝ちゃん部屋,28,リヴァーサル,月が導く異世界道中 第二幕 OP2,syudou,加古,,2026/01/25
ほっしー部屋,28,夢幻トリップ,素材採取家の異世界旅行記,なきごと,hossy,,2026/01/25
芝ちゃん部屋,27,人形の街,アルネの事件簿 ED,小林私,ゆに,,2026/01/25
ほっしー部屋,27,YES!サマーラブ【パート分けあり】,勇者パーティーにかわいい子がいたので、告白してみた。 ED,櫻井もも 小澤愛実 野口衣織,hossy,,2026/01/25
芝ちゃん部屋,26,メガネを外して,正反対な君と僕 OP,乃紫,ヒロ,,2026/01/25
ほっしー部屋,26,Lavish!!,勇者パーティーにかわいい子がいたので、告白してみた。 OP,吉乃,hossy,,2026/01/25
芝ちゃん部屋,25,まぼろしの行方,カヤちゃんはコワくない OP,ヰ世界情緒,芝ちゃん,,2026/01/25
MiO部屋,25,アーモンドクロワッサン計画【生音】,あ,NMB48(チームB2),えりか,,2026/01/25
ほっしー部屋,25,プロトスター,SI-VIS The Sound of Heroes,SI-VISセイレーン・凪,hossy,,2026/01/25
芝ちゃん部屋,24,ぼなぺてぃーと S  キー変更： -4,ブレンド・S,ブレンド・A,えみち,,2026/01/25
MiO部屋,24,ギンガムチェック【生音】,き,AKB48(19期研究生),MiO,,2026/01/25
ほっしー部屋,24,ラケナリアの夢,魔術師クノンは見えている OP,ヰ世界情緒,hossy,,2026/01/25
芝ちゃん部屋,23,うるわし,うるわしの宵の月 Op,UNISON SQUARE GARDEN,加古,,2026/01/25
MiO部屋,23,僕は知っている(Movie ver),-,SKE48,ユウキ,珠理奈祝結婚(⁠✿⁠^⁠‿⁠^⁠)幸せを願い歌います(⁠◕⁠ᴗ⁠◕⁠✿⁠),2026/01/25
ほっしー部屋,23,We Can Do!!,魔王の娘は優しすぎる!! OP,石原夏織,hossy,,2026/01/25
芝ちゃん部屋,22,メンタルレンタル,勇者のクズ ED,紫今,ゆに,,2026/01/25
MiO部屋,22,KIRAKIRA Tune【4K】,-,UNLAME,yasuharu!,,2026/01/25
ほっしー部屋,22,メガネを外して,正反対な君と僕 OP,乃紫,hossy,,2026/01/25
芝ちゃん部屋,21,We Can Do!!,魔王の娘は優しすぎる!! OP,石原夏織,ヒロ,,2026/01/25
MiO部屋,21,Route246,-,乃木坂46,電気ねこ,WOW WOW WOW,2026/01/25
ほっしー部屋,21,You'll Be In My Heart ～そばに～,貴族転生 ～恵まれた生まれから最強の力を得る～,アリーチェ(CV:橘杏咲),hossy,,2026/01/25
芝ちゃん部屋,20,そういうお主は,ワンワン三銃士 Ed,日下まろん,芝ちゃん,,2026/01/25
MiO部屋,20,思春期のアドレナリン,-,AKB48(チーム8 WEST),えりか,,2026/01/25
ほっしー部屋,20,出逢ってしまったから【第2話 挿入歌】,貴族転生 ～恵まれた生まれから最強の力を得る～,アリーチェ(CV:橘杏咲),hossy,,2026/01/25
芝ちゃん部屋,19,Ubiquitous dB【DUO】  キー変更： -4,劇場版 ソードアート・オンライン -オーディナル・スケール- 挿入歌special ver.,ユナ(CV:神田沙也加),えみち,,2026/01/25
MiO部屋,19,【生音】劇場へようこそ(BD版)  キー変更： -3,-,AKB48【On-Cut】【MIX】(LIVE),MiO,,2026/01/25
ほっしー部屋,19,不滅のあなた【1クール目 13話まで】,不滅のあなたへ Season3,Perfume,hossy,,2026/01/25
芝ちゃん部屋,18,アドレナ【Ver1 暫定版 第2話まで】,花ざかりの君たちへ OP,YOASOBI,加古,,2026/01/25
MiO部屋,18,へたっぴウィンク【デュエット】,へ,渡り廊下走り隊7,ユウキ,まゆゆの演技がやはり印象的ですね(⁠◕⁠ᴗ⁠◕⁠✿⁠),2026/01/25
ほっしー部屋,18,若葉のころ,綺麗にしてもらえますか。 ED,清浦夏実,hossy,,2026/01/25
芝ちゃん部屋,17,ToCoda,最終楽章 響け!ユーフォニアム TM,TRUE,ゆに,,2026/01/25
MiO部屋,17,【生音】Hungrylove(DMM版),-,AKB48【On-Cut】(LIVE),yasuharu!,,2026/01/25
ほっしー部屋,17,赤と青【2025 大晦日放送(上下) ED】,かぐや様は告らせたい 大人への階段,四宮かぐや(CV:古賀葵),hossy,,2026/01/25
芝ちゃん部屋,16,光よ、僕に。【ご褒美Ver.】,魔都精兵のスレイブ2 OP,鬼頭明里,ヒロ,,2026/01/25
MiO部屋,16,,,,小休止,,2026/01/25
ほっしー部屋,16,heart notes【2025 大晦日放送(下) 挿入歌】,かぐや様は告らせたい 大人への階段,鈴木愛理,hossy,,2026/01/25
芝ちゃん部屋,15,恋はプリズム,イチゴ哀歌～雑で生イキな妹と割り切れない兄～ Tm,あかしゆきと乙倉ゅい,芝ちゃん,,2026/01/25
MiO部屋,15,【生音】毒蜘蛛(リバイバル),-,AKB48【On-Off】(LIVE),電気ねこ,,2026/01/25
ほっしー部屋,15,綺麗。,綺麗にしてもらえますか。 OP,ゆう。,hossy,,2026/01/25
芝ちゃん部屋,14,STAR☆T☆RAIN -New Arrange Ver.-【パート分け】  キー変更： -3,【推しの子】,B小町,えみち,,2026/01/25
MiO部屋,14,ギュッ【デュエット】,き,渡り廊下走り隊,えりか,,2026/01/25
ほっしー部屋,14,アブナイキオク【パート分け】,かぐや様は告らせたい 大人への階段 OP,"鈴木雅之,古賀葵",hossy,,2026/01/25
芝ちゃん部屋,13,Bのリベンジ【アニメ映像ver1.3・1話映像・パート分け有り】,【推しの子】 IN,B小町,加古,,2026/01/25
MiO部屋,13,【4K】Oh my pumpkin  キー変更： -3,-,AKB48【On-Off】(MV),MiO,,2026/01/25
ほっしー部屋,13,I need,「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい ED,田中有紀,hossy,,2026/01/25
芝ちゃん部屋,12,【推しの子】 [OP] TEST ME／ちゃんみな bb254 (On-Off),-,,ゆに,,2026/01/25
MiO部屋,12,思い出せない花【トリオ】,-,フレンチ・キス,ユウキ,今年もこれ歌います:⁠^⁠)エリカさんとMioさんよろしくお願いしますm(__)m,2026/01/25
ほっしー部屋,12,Bのリベンジ【アニメ映像ver1.0・1話映像・パート分け有り】,【推しの子】 IN,B小町,hossy,,2026/01/25
芝ちゃん部屋,11,二つの道,最強の王様、二度目の人生は何をする? Season 2 ED,22/7,ヒロ,,2026/01/25
MiO部屋,11,夢の鐘,-,AKB48(チームK),電気ねこ,,2026/01/25
ほっしー部屋,11,Make it,お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～ ED,大渕野々花,hossy,,2026/01/25
芝ちゃん部屋,10,'FIGHT' ADDICT,カードファイト!! ヴァンガード Divinez デラックス決勝編 Ed,RAISE A SUILEN,芝ちゃん,,2026/01/25
MiO部屋,10,この胸のバーコード【デュエット】,こ,AKB48(村山チーム4),yasuharu!,手を繋ぎながら公演より,2026/01/25
ほっしー部屋,10,あまのじゃく,幼馴染とはラブコメにならない ED,小玉ひかり,hossy,,2026/01/25
芝ちゃん部屋,9,YESとNOの間に【アニメ映像、パート分け】  キー変更： -3,ATRI -My Dear Moments- ED,22/7,えみち,,2026/01/25
MiO部屋,9,【生音】なんてったってアイドル(ミュージックステーション)AKB48・乃木坂46・他,-,【On-Cut】(TV),えりか,,2026/01/25
ほっしー部屋,9,カメリア,エリスの聖杯 ED,田村ゆかり,hossy,,2026/01/25
芝ちゃん部屋,8,TABOO NIGHT XXXX【パート分け】,劇場版 うたの☆プリンスさまっ♪ TABOO NIGHT XXXX LIVE,QUARTET NIGHT,加古,,2026/01/25
MiO部屋,8,【生音】AKB48(劇場20周年特別記念公演),-,AKB48【On-Off】(LIVE),MiO,,2026/01/25
ほっしー部屋,8,Happy Ever After feat. 由薫,エリスの聖杯 OP,鷲尾伶菜,hossy,,2026/01/25
芝ちゃん部屋,7,セレナーデ【なとり MV】,【推しの子】 第3期,,ゆに,,2026/01/25
MiO部屋,7,【生音】緞帳を上げてくれ!(BD版),-,AKB48【On-Cut】(LIVE),ユウキ,初めて歌います:⁠^⁠)ネコくんCDありがとうございますm(__)m,2026/01/25
ほっしー部屋,7,アザレアの風,うるわしの宵の月 Ed,UNISON SQUARE GARDEN,hossy,,2026/01/25
芝ちゃん部屋,6,【29歳独身中堅冒険者の日常】[君の隣は空気が美味しい(feat.Kotoha)][OP][MARUMOCHI from HoneyWorks][悠季]onvo,-,,ヒロ,,2026/01/25
MiO部屋,6,大人ジェリービーンズ,-,渡辺麻友,yasuharu!,,2026/01/25
ほっしー部屋,6,うるわし,うるわしの宵の月 Op,UNISON SQUARE GARDEN,hossy,,2026/01/25
ヒロ部屋,5,【呪術廻戦】 [OP] AIZO／King Gnu bb256 (On-Off),-,,ブルーベリー,よろしくお願いします 練習,2026/01/25
芝ちゃん部屋,5,渦,BEYBLADE X Ed,imase,芝ちゃん,,2026/01/25
MiO部屋,5,奇跡は間に合わない,-,AKB48(チームK宮澤佐江・野中美郷・松井珠理奈),電気ねこ,,2026/01/25
ほっしー部屋,5,言伝,違国日記 ED,Bialystocks,hossy,,2026/01/25
芝ちゃん部屋,4,ピースサイン【公式アニメMV】,僕のヒーローアカデミア,米津玄師,えみち,よろしかお願いします！,2026/01/25
MiO部屋,4,【生音】Mステ小嶋陽菜プロデュース卒業メドレー,-,AKB48【On-Cut-Cut】(TV),えりか,,2026/01/25
ほっしー部屋,4,人形の街,アルネの事件簿 ED,小林私,hossy,,2026/01/25
芝ちゃん部屋,3,アザレアの風,うるわしの宵の月 Ed,UNISON SQUARE GARDEN,加古,,2026/01/25
MiO部屋,3,【生音】PARTYが始まるよ(劇場20周年特別記念公演),-,AKB48【On-Off】(LIVE),MiO,,2026/01/25
ほっしー部屋,3,Q.E.D.,アルネの事件簿 OP,Sou,hossy,,2026/01/25
芝ちゃん部屋,2,lulu,葬送のフリーレン(2期) OP,Mrs.GREEN APPLE,ゆに,,2026/01/25
MiO部屋,2,目撃者,-,AKB48(チームA),ユウキ,遅いですが明けましておめでとうございます(⁠◕⁠ᴗ⁠◕⁠✿⁠)今年もよろしくお願いします(⁠✿⁠^⁠‿⁠^⁠),2026/01/25
ほっしー部屋,2,【学園アイドルマスター】[IN]雨上がりのアイリス／Re IRIS（花海咲季・月村手毬・藤田ことね） bb238 (On-Off),-,,hossy,,2026/01/25
芝ちゃん部屋,1,【29歳独身中堅冒険者の日常】[君が灯してくれた光を今onvo(feat.Hanon)][OP][MARUMOCHI_from_HoneyWorks][悠季],-,,ヒロ,よろしくお願いします,2026/01/25
MiO部屋,1,君が教えてくれた,-,AKB48(17期研究生),yasuharu!,今年もよろしく〜,2026/01/25
ぬこ部屋,103,YESとNOの間に,ATRI -My Dear Moments- ED,7月22日,サティ,,2026/1/24
ぬこ部屋,102,ReawakeR【《ver1.3・番宣映像・パート分け有り》】,俺だけレベルアップな件 OP2,"LiSA,Felix of Stray Kids",なおみ,,2026/1/24
ぬこ部屋,101,残酷よ希望となれ,アイドルマスター XENOGLOSSIA OP 2,結城アイラ,ぬこ,,2026/1/24
ぬこ部屋,100,たのしいかくれんぼ【第1話 挿入歌 アニメ公式 MV】,魔王の娘は優しすぎる!!,ドゥ(CV:久野美咲),ゆーき,,2026/1/24
ぬこ部屋,99,シルベ,ホロライブ IM,常闇トワ,ゆに,,2026/1/24
ぬこ部屋,98,Lost Princess. プリンセスコネクト 【onボーカル】LIVE,-,,サティ,,2026/1/24
ぬこ部屋,97,X.U.,終わりのセラフ,SawanoHiroyuki[nZk]:Gemie,なおみ,,2026/1/24
ぬこ部屋,96,Lost Princess(アニメ版),プリンセスコネクト! Re:Dive OP,ペコリーヌ(M・A・O)・コッコロ(伊藤美来)・キャル(立花理香),ぬこ,,2026/1/24
ぬこ部屋,95,きみはゆきだるま【第2話 挿入歌 アニメ公式 MV】,魔王の娘は優しすぎる!!,ドゥ(CV:久野美咲),ゆーき,,2026/1/24
ぬこ部屋,94,月に向かって撃て,真夜中ハートチューン OP,星街すいせい,ゆに,,2026/1/24
ぬこ部屋,93,君色シグナル (Animelo Summer Live 2015),冴えない彼女の育てかた,春奈るな,サティ,,2026/1/24
ぬこ部屋,92,ネロ【OP_r1】,デッドマウント・デスプレイ OP 1,Sou,なおみ,,2026/1/24
ぬこ部屋,91,Endless Notes,グリムノーツ The Animation ED,i☆RIS,ぬこ,,2026/1/24
ぬこ部屋,90,あまのじゃくヒーロー,顔に出ない柏田さんと顔に出る太田君 ED,三月のパンタシア,ゆーき,,2026/1/24
ヒロ部屋,90,一閃【パート分け最終話まで】,暗殺者である俺のステータスが勇者よりも明らかに強いのだが OP,VESPERBELL,ヒロ,,2026/1/24
ぬこ部屋,89,We Can Do!!,魔王の娘は優しすぎる!! OP,石原夏織,ゆに,,2026/1/24
ヒロ部屋,89,主人公になろう!feat.鈴木愛理【_パート分け】,空色ユーティリティ OP,オーイシマサヨシ,みなぴー,男性はオーイシマサヨシで。 女性は鈴木愛理で。,2026/1/24
ぬこ部屋,88,変態王子と笑わない猫。：Baby Sweet Berry Love_小倉唯(On-Off)_sm36773182※LIVE映像,-,,サティ,,2026/1/24
ヒロ部屋,88,Tumbling Dice【_Last版_パート分け】,凍牌～裏レート麻雀闘牌録～ ED2,えなこ × 草野華余子,みにゅ,,2026/1/24
ぬこ部屋,87,3分29秒,86-エイティシックス- OP,ヒトリエ,なおみ,,2026/1/24
ヒロ部屋,87,Yummy Yummy【_パート分け】,日本へようこそエルフさん。 ED,"樋口楓,叶",アイス,みにゅさんお願いします,2026/1/24
ぬこ部屋,86,感情無用論,22/7 ED,丸山あかね(白沢かなえ),ぬこ,,2026/1/24
ヒロ部屋,86,Tumbling Dice,凍牌～裏レート麻雀闘牌録～ ED,えなこ × 草野華余子,みにゅ,,2026/1/24
ぬこ部屋,85,【劇場版 BanG Dream! It's MyGO!!!!!】迷路日々／mygo bb218 (On-Off),-,,ゆーき,,2026/1/24
ヒロ部屋,85,魔法の音,悪役令嬢は隣国の王太子に溺愛される ED,"高垣彩陽,城田優",村民,アイスさんお願いします。わかんなかったらオンボにしちゃうかも。,2026/1/24
ぬこ部屋,84,][2tr Off-On],小鹿なお,,ゆに,,2026/1/24
ヒロ部屋,84,【週末ツーリング】 グライド ※ED (off-UVRコーラス入-on)／ Myuk,-,,ヒロ,,2026/1/24
ぬこ部屋,83,理解者,22/7「あの日の彼女たち」 IM,7月22日,サティ,,2026/1/24
ヒロ部屋,83,めてお☆いんぱくと (Animelo Summer Live 2013),俺の妹がこんなに可愛いわけがない,田村ゆかり,みなぴー,,2026/1/24
ぬこ部屋,82,Crescendo,不遇職【鑑定士】が実は最強だった OP,ASTERISM,なおみ,,2026/1/24
ヒロ部屋,82,レイメイ,ゴールデンカムイ OP2,さユり×MY FIRST STORY,みにゅ,,2026/1/24
ぬこ部屋,81,百面相,顔に出ない柏田さんと顔に出る太田君 OP,はしメロ,ぬこ,,2026/1/24
ヒロ部屋,81,SAVIOR OF SONG(Ver2)(パート分け),蒼き鋼のアルペジオ-アルス・ノヴァ-,ナノ feat.MY FIRST STORY,アイス,村民さんお願いします,2026/1/24
ぬこ部屋,80,Thankful,笑顔のたえない職場です。 ED,Sizuk,ゆーき,,2026/1/24
ヒロ部屋,80,恋はエクスプロージョン,恋は世界征服のあとで OP,オーイシマサヨシ feat.田村ゆかり,村民,みにゅさんおねがいします！,2026/1/24
ぬこ部屋,79,ToCoda,最終楽章 響け!ユーフォニアム TM,TRUE,ゆに,,2026/1/24
ヒロ部屋,79,僕のヒーローアカデミア FINAL SEASON エンディング_I (アイ)_BUMP OF CHICKEN_2CH,-,,ヒロ,,2026/1/24
MiO部屋,79,Beginner【アニメVer.】,AKB0048,AKB48,まゆ,,2026/1/24
ぬこ部屋,78,【マギ】 - 「指望遠鏡」 - 『2ch』,-,,サティ,,2026/1/24
ヒロ部屋,78,FLOOR KILLER,グノーシア ED2,梅田サイファー,アイス,,2026/1/24
ヒロ部屋,78,W●RK,地獄楽 OP,"millennium parade,椎名林檎",みなぴー,,2026/1/24
MiO部屋,78,0443_memories(神八剣伝)(OffV),-,,cp,,2026/1/24
ぬこ部屋,77,,,,部屋移動,,2026/1/24
ヒロ部屋,77,W●RK,地獄楽 OP,"millennium parade,椎名林檎",みなぴー,,2026/1/24
ヒロ部屋,77,FLOOR KILLER,グノーシア ED2,梅田サイファー,アイス,,2026/1/24
MiO部屋,77,KAMIGAMI-神噛-(TV edit.),終末のワルキューレ Record of Ragnarok,マキシマム ザ ホルモン,MiO,,2026/1/24
ぬこ部屋,76,オン・ザ・フロントライン,無職転生II～異世界行ったら本気だす～ OP2,ヒトリエ,アイス,,2026/1/24
ヒロ部屋,76,メロディックロードムービー【_パート分け】,[劇場版]異世界かるてっと ～あなざーわーるど～ ED,鈴木このみ feat. 伊東歌詞太郎,みにゅ,,2026/1/24
MiO部屋,76,"To the begining【パート分け,本人映像】",FateZero,Kalafina,まゆ,MIOさんよろしくお願いします♪,2026/1/24
ぬこ部屋,75,町の人々【パート分け】,ドラゴンクエスト1 町BGM ボーカルカバー曲,ルーラ,けんちぃ,,2026/1/24
ヒロ部屋,75,愛のファンファーレ【パート分け】,悪役令嬢は隣国の王太子に溺愛される OP,"高垣彩陽,城田優",村民,アイスさんお願いします,2026/1/24
MiO部屋,75,機動戦士ガンダム0080 ポケットの中の戦争 ED「遠い記憶」椎名恵_2CH  キー変更： -3,-,,MiO,,2026/1/24
ぬこ部屋,74,君色、僕色【パート分け】,異世界かるてっと3 ED,鈴木このみ、伊東歌詞太郎,なおみ,,2026/1/24
ヒロ部屋,74,Reincarnation,無職の英雄 ～別にスキルなんか要らなかったんだが～ OP,花耶,ヒロ,,2026/1/24
MiO部屋,74,BLUE SEED_Touch and Go!!【2ch】(G) -林原めぐみ -,-,,cp,,2026/1/24
