id,歌唱者,作品名,歌手,曲名,パート分け,練習中,要復習,非公開
1777465750797.876,あきらん,メダリスト,HANA,Cold Night,,,,
1777465750797.3684,あきらん,メダリスト,Conton Candy,Rookies,,1,,
1777465750797.6719,あきらん,勇者刑に処す(懲罰勇者9004隊刑務記録),SPYAIR,Kill the Noise,,,,
1777465750797.2612,あきらん,勇者パーティーにかわいい子がいたので 告白してみた。,吉乃,Lavish!!,,,,
1777465750797.1008,あきらん,SI-VIS,SI-VIS,スーパーノヴァ,1,,,
1777465750797.2407,あきらん,SI-VIS,SI-VIS,Singing Over,1,,,
1777465750797.7207,あきらん,ある日 お姫様になってしまった件について,Daoko,いいよ,,1,,
1777465750797.5032,あきらん,ある日 お姫様になってしまった件について,XAI,その瞳で,,1,,
1777465750797.447,あきらん,異世界かるてっと,アインズ カズマ スバル ターニャ,異世界こんちぇると,1,,,
1777465750797.9622,あきらん,異世界かるてっと,鈴木このみ 伊東歌詞太郎,君色 僕色,1,,1,
1777465750797.0222,あきらん,ウマ娘 シンデレラグレイ,オグリキャップ タマモクロス,ふたり,1,,,
1777465750797.7961,あきらん,笑顔のたえない職場です。,HoneyWorks feat.ハコニワリリィ,絶対称賛！,1,,,
1777465750797.2534,あきらん,笑顔のたえない職場です。,Sizuk,Thankful,,,,
1777465750797.605,あきらん,かくりよの宿飯(弐),東山奈央,とおりゃんせ,,,,
1777465750797.9219,あきらん,かくりよの宿飯(弐),津場木葵(CV.東山奈央)大旦那(CV.小西克幸),涙のレシピ×ひと匙の光,1,1,,
1777465750797.4932,あきらん,機械じかけのマリー,マリー(東山奈央)&マリー2(小清水亜美),Cross heart～偽りのない気持ち,1,1,,
1777465750797.6516,あきらん,結婚指輪物語Ⅱ,Sizuk,Daybreak,,,,
1777465750797.0066,あきらん,最後にひとつだけお願いしてもよろしいでしょうか,シユイ,インフェリア,,1,,
1777465750797.182,あきらん,SI-VIS,SI-VIS,So Far Away,1,,,
1777465750797.1213,あきらん,SI-VIS,SI-VIS,MELODEA,,,,
1777465750797.3782,あきらん,SI-VIS,SI-VIS,幻想曲(アラベスク)を君に,,,,
1777465750797.112,あきらん,SI-VIS,SI-VIS,Braver Dreamer,1,,,
1777465750797.143,あきらん,SI-VIS,SI-VIS,FRIENDS ＆ SMILE,1,,,
1777465750797.6807,あきらん,終末ツーリング,Myuk,グライド,,,,
1777465750797.027,あきらん,SPY×FAMILY(Season 3),スピッツ,灯を護る,,1,,
1777465750797.1675,あきらん,千歳くんはラムネ瓶のなか,サイダーガール,陽炎,,,1,
1777465750797.5264,あきらん,永久のユウグレ,Uru,プラットフォーム,,,,
1777465750798.9915,あきらん,僕のヒーローアカデミア(FINAL SEASON),ポルノグラフィティ,THE REVO,,,,
1777465750798.319,あきらん,僕のヒーローアカデミア(FINAL SEASON),BUMP OF CHICKEN,I,,,,
1777465750798.1106,あきらん,無職の英雄 ～別にスキルなんか要らなかったんだが～,ウタヒメドリームオールスターズ,奇跡なんかいらない,1,,,
1777465750798.559,あきらん,野生のラスボスが現れた！,岸田教団＆THE明星ロケッツ,レベルを上げて物理で殴る,,,1,
1777465750798.504,あきらん,私を喰べたい ひとでなし,吉乃,贄-nie-,,,,
1777465750798.4204,あきらん,私を喰べたい ひとでなし,八百歳比名子（CV：上田麗奈）,リリィ,,,,
1777465750798.5615,成田,SI-VIS,SI-VIS,スーパーノヴァ,1,,,
1777465750798.9348,成田,メダリスト,HANA,Cold Night,,,,
1777465750798.9758,成田,呪術廻戦,AIZO,King Gnu,1,,,
1777465750798.2358,成田,地獄楽,キタニタツヤ feat. BABYMETAL,かすかなはな,1,,,
1777465750798.5022,成田,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),Ex-Otogibanashi,1,1,,
1777465750798.5269,成田,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),ray,1,1,,
1777465750798.0222,成田,超かぐや姫!,かぐや(夏吉ゆうこ),Reply,1,1,,
1777465750798.4294,あきらん,劇場版 うたの☆プリンスさまっ♪ TABOO NIGHT XXXX LIVE,QUARTET NIGHT,TABOO NIGHT XXXX,1,,,
1777465750798.436,成田,機動戦士ガンダム 閃光のハサウェイ,"川上洋平,SennaRin",ENDROLL,1,,,
1777465750798.4148,あきらん,SANDA,yama,アダルトチックチルドレン,,,1,
1777465750798.206,あきらん,とんでもスキルで異世界放浪メシ,CENT,yummy goodday,,1,,
1777465750798.9602,あきらん,不器用な先輩。,angela,不器用なI love you,,1,,
1777465750798.735,あきらん,不器用な先輩。,前島亜美,不器用に 君のとなり,,1,,
1777465750798.1404,あきらん,無職の英雄 ～別にスキルなんか要らなかったんだが～,花耶,Reincarnation,,,1,
1777465750798.1943,芝ちゃん,世界でいちばん強くなりたい!,Sweet Diva,Fan Fanfare!!!,1,,,
1777465750798.1663,えみち,幼馴染とはラブコメにならない,,あいらびゅ,1,,,
1777465750798.4468,えみち,勇者パーティーにかわいい子がいたので、告白してみた,,YES サマーラブ,1,,,
1777465750798.6409,えみち,,【推しの子】,Bのリベンジ,1,,,
1777465750798.083,えみち,29歳独身中堅冒険者の日常,,君が灯してくれた光を今,,,,
1777465750798.5464,えみち,人外教室の人間嫌い教師,,ニンゲン,,,,
1777465750798.7966,芝ちゃん,Re:ステージ！ ドリームデイズ♪,KiRaRe,"Don’t think, スマイル!!",1,,,
1777465750799.9778,,悪役令嬢は隣国の王太子に溺愛される,,愛のファンファーレ,1,,,
1777465750799.1775,えみち,,,One In A Billion,,,,
1777465750799.3276,えみち,,,Harmony 4 You,,,,
1777465750799.0703,えみち,超かぐや姫,,私は　わたしの事が好き,,,,
1777465750799.1133,えみち,,,レナセールセレナーデ,,,,
1777465750799.2876,えみち,,,YESとNOの間に,,,,
1777465750799.0337,えみち,学園アイドルマスター,,理論武装して,,1,,
1777465750799.0867,えみち,,,桜のかくしごと,1,,,
1777465750799.6836,ながし,機動戦士ガンダム 閃光のハサウェイ キルケーの魔女,川上洋平 [Alexandros] × SennaRin,ENDROLL,1,,,
1777465750799.9382,ながし,僕の心のヤバイやつ,ヨルシカ,茜,,,,
1777465750799.5925,ながし,ばっどがーる,天狼群,オオカミ・ザ・ライトニング,1,,,
