id,歌唱者,作品名,歌手,曲名,パート分け,練習中,要復習,非公開
1777465918276.2903,つぼはち,永久のユウグレ,Uru,プラットフォーム,,,,
1777465918276.322,つぼはち,笑顔のたえない職場です。,HoneyWorks feat.ハコニワリリィ,絶対称賛！,,,,
1777465918276.8667,つぼはち,無職の英雄 ～別にスキルなんか要らなかったんだが～,花耶,Reincarnation,,1,,
1777465918276.9355,つぼはち,幼馴染とはラブコメにならない,小玉ひかり,あまのじゃく,,,,
1777468434556.0168,あきらん,Re:ゼロから始める異世界生活,MYTH & ROID feat. TK（凛として時雨）,Ender Ember,1,,,
1777468434556.9202,あきらん,ゴーストコンサート : missing Songs,藤寺美徳 日高里菜,RES∞NALIST,1,1,,
1777468434556.059,あきらん,ゴーストコンサート  missing Songs,相葉芹亜（CV：藤寺美徳）＆沖田総司（CV：熊谷健太郎）,誠-BUSHIDO HERO-魂,1,1,,
1777468434556.2512,あきらん,多聞くん今どっち！？,F/ACE,Supernova,1,,,
1777468434556.1953,あきらん,異世界のんびり農家２,下地紫野 洲崎綾,It’s a beautiful story,1,1,,
1777468434556.106,あきらん,本好きの下剋上 領主の養女,Little Glee Monster,Pages,1,1,,
1777468603851.4207,あきらん,とんがり帽子のアトリエ,Eve featuring suis from ヨルシカ,風のアンセム,1,,,
1777472306756.825,あきらん,よわよわ先生,鶸村ひより(CV.高野麻里佳)、椋林瑞希(CV.伊駒ゆりえ)、雪下祐樹(CV.篠原 侑),よわよわ つよつよ みにみに こわこわ,1,,,
1777773040482.147,加古,ゴーストコンサート,相葉芹亜（藤寺美徳）&クレオパトラ（日高里菜）,RES∞NALIST,1,,,
1777773105643.4216,加古,ゴーストコンサート,相葉芹亜（藤寺美徳）&ニコラ・テスラ（佐々木崇）,gifted,1,,,
1777773150402.6946,加古,ゴーストコンサート,相葉芹亜（藤寺美徳）&沖田総司（熊谷健太郎）,誠-BUSHIDO HERO-魂,1,,,
1777773209184.2146,加古,ゴーストコンサート,相葉芹亜（藤寺美徳）,業魂REQUIEMER,,1,,
1777773360331.6057,加古,とんがり帽子のアトリエ,Eve featuring suis from ヨルシカ,風のアンセム,1,1,,
1777773591098.5752,加古,Re:ゼロから始める異世界生活,MYTH & ROID feat. TK（凛として時雨）,Ender Ember,1,1,,
1777773711482.235,加古,氷の城壁,Novelbright,透明,,,,
1777773789411.7075,加古,あかね噺,桑田佳祐,人誑し / ひとたらし,,,,
1777773866915.0732,加古,春夏秋冬代行者 春の舞,Orangestar feat. 夏背,Petals,,1,,
1777773992044.6409,加古,Dr.STONE,ASIAN KUNG-FU GENERATION,スキンズ,,,,
